{'time': 75.63, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 75.67, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 75.67, 'color': 'dark-green', 'zone': 2, 'Event': 'Entry'}
{'time': 75.73, 'color': 'dark-green', 'zone': 2, 'Event': 'Exit'}
{'time': 75.77, 'color': 'dark-green', 'zone': 2, 'Event': 'Entry'}
{'time': 75.83, 'color': 'dark-green', 'zone': 2, 'Event': 'Exit'}
{'time': 75.87, 'color': 'dark-green', 'zone': 2, 'Event': 'Entry'}
{'time': 77.6, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 77.67, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 77.7, 'color': 'peach', 'zone': 4, 'Event': 'Entry'}
{'time': 77.87, 'color': 'peach', 'zone': 4, 'Event': 'Exit'}
{'time': 77.97, 'color': 'peach', 'zone': 4, 'Event': 'Entry'}
{'time': 78.03, 'color': 'peach', 'zone': 4, 'Event': 'Exit'}
{'time': 78.1, 'color': 'peach', 'zone': 4, 'Event': 'Entry'}
{'time': 84.4, 'color': 'yellow', 'zone': 1, 'Event': 'Exit'}
{'time': 85.23, 'color': 'dark-green', 'zone': 2, 'Event': 'Exit'}
{'time': 86.1, 'color': 'peach', 'zone': 4, 'Event': 'Exit'}
{'time': 86.33, 'color': 'peach', 'zone': 4, 'Event': 'Entry'}
{'time': 86.37, 'color': 'peach', 'zone': 4, 'Event': 'Exit'}
{'time': 86.37, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 86.47, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 87.7, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 87.73, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 90.0, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 90.47, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 90.67, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 93.37, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 93.4, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 93.43, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 94.5, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
